id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
230215,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Peter Boesman,Peru,"Jaén area, Cajamarca",-5.6666666667,-78.8333333333,,song,,,field recording,//xeno-canto.org/230215,https://xeno-canto.org/230215/download,XC230215-Chinchipe Spinetail B 5361.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230215-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230215-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230215-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230215-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230215-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230215-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230215-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:30,17:15,2007-12-26,2015-03-23,[],ID certainty 100%. (Archiv. tape 522 side A track 107 seq. A),unknown,unknown,unknown,,,no,,,32000
230214,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Peter Boesman,Peru,"Jaén area, Cajamarca",-5.6666666667,-78.8333333333,,rattle,,,field recording,//xeno-canto.org/230214,https://xeno-canto.org/230214/download,XC230214-Chinchipe Spinetail B 5360.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230214-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230214-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230214-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230214-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230214-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230214-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230214-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:13,17:15,2007-12-26,2015-03-23,[],ID certainty 100%. (Archiv. tape 522 side A track 106 seq. A),unknown,unknown,unknown,,,no,,,32000
230213,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Peter Boesman,Peru,"Jaén area, Cajamarca",-5.6666666667,-78.8333333333,,rattle,,,field recording,//xeno-canto.org/230213,https://xeno-canto.org/230213/download,XC230213-Chinchipe Spinetail B 5359.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230213-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230213-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230213-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230213-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230213-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230213-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230213-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:10,17:10,2007-12-26,2015-03-23,[],ID certainty 100%. (Archiv. tape 522 side A track 102 seq. A),unknown,unknown,unknown,,,no,,,32000
230211,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Peter Boesman,Peru,"Chirinos road, Cajamarca",-5.3333333333,-78.9166666667,,song,,,field recording,//xeno-canto.org/230211,https://xeno-canto.org/230211/download,XC230211-Chinchipe Spinetail B 5362.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230211-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230211-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230211-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC230211-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230211-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230211-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC230211-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:18,08:10,2007-12-27,2015-03-23,[],ID certainty 100%. (Archiv. tape 522 side A track 149 seq. A),unknown,unknown,unknown,,,no,,,32000
122189,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Eric DeFonso,Peru,"Jaén, Cajamarca Region",-5.6833,-78.7962,800,song,,,field recording,//xeno-canto.org/122189,https://xeno-canto.org/122189/download,XC122189-20110515-0632-1087-PE-CJ-Jaen-Necklaced Spinetails.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KTLCZCRCQX/ffts/XC122189-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KTLCZCRCQX/ffts/XC122189-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KTLCZCRCQX/ffts/XC122189-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KTLCZCRCQX/ffts/XC122189-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KTLCZCRCQX/wave/XC122189-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KTLCZCRCQX/wave/XC122189-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KTLCZCRCQX/wave/XC122189-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:17,06:32,2011-05-15,2013-02-21,[],duetting birds singing from hidden area in tall grass just off the road,no,no,no,,,no,,,48000
49729,Rhynchospiza,dabbenei,,birds,Yungas Sparrow,Rosendo Fraga,Argentina,"Lozano, Doctor Manuel Belgrano, Jujuy",-24.0778,-65.4204,1600,call,"female, male",,field recording,//xeno-canto.org/49729,https://xeno-canto.org/49729/download,SPARROW Stripe-capped_13_Lozano-1200 msnm-Jujuy_AR_4DIC98_Rosendo Fraga.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC49729-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC49729-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC49729-large.png', 'full': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC49729-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC49729-small.png', 'med': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC49729-med.png', 'large': '//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC49729-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:10,09:00,1998-12-04,2010-05-14,[],"Calls of one sparrow. Open dry woodland with native trees (tipa, nogal criollo, curupí, espinillo) and some thorny shrubs.",yes,yes,no,,,no,,,44100
36066,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Frank Lambert,Peru,between Jaen and San Ignacio,,,?,"call, song",,,field recording,//xeno-canto.org/36066,https://xeno-canto.org/36066/download,SPChinchipe_FL 3Jul06 betweenJaen_SanIgnacio.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36066-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36066-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36066-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC36066-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC36066-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC36066-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC36066-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:41,09:00,2006-07-03,2009-06-23,[],This taxon is more usually called Chinchipe Spinetail,unknown,unknown,unknown,,,no,,,44100
12113,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Frank Lambert,Peru,near Jean,,,?,song,,,field recording,//xeno-canto.org/12113,https://xeno-canto.org/12113/download,ChinchipSp-FL.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC12113-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC12113-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC12113-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC12113-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC12113-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC12113-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC12113-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:18,?,0000-00-00,2008-11-20,[],,unknown,unknown,unknown,,,no,,,44100
459097,Rhamphocharis,piperata,,birds,Spotted Berrypecker,Joshua Bergmark,Papua New Guinea,"""Ambua Lodge"" area, Southern Highlands Province",-5.962,143.067,2100,call,male,,field recording,//xeno-canto.org/459097,https://xeno-canto.org/459097/download,XC459097-Spotted Berrypecker.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RXNIWXDLCB/ffts/XC459097-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RXNIWXDLCB/ffts/XC459097-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RXNIWXDLCB/ffts/XC459097-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RXNIWXDLCB/ffts/XC459097-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RXNIWXDLCB/wave/XC459097-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RXNIWXDLCB/wave/XC459097-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RXNIWXDLCB/wave/XC459097-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:47,15:00,2018-06-15,2019-02-25,[],"Lone male in his usual tree near the chalets. The female was not seen during 2018 to my knowledge, and now with the closure of Ambua it seems likely this rare species will become nearly mythical once again in New Guinea...",yes,yes,no,,,no,,,44100
139295,Arremon,dorbignii,,birds,Moss-backed Sparrow,Bernabe Lopez-Lanus,Argentina,"Aguas Negras, PN Calilegua, Jujuy",-23.7574,-64.8495,800,"call, song",,juvenile,field recording,//xeno-canto.org/139295,https://xeno-canto.org/139295/download,XC139295-Arre_rflavirostris_call_Aguas Negras_PN Calilegua_Jujuy_27ENE2013_B Lopez-Lanus_BLL378-020.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/XC139295-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/XC139295-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/XC139295-large.png', 'full': '//xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/ffts/XC139295-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/wave/XC139295-small.png', 'med': '//xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/wave/XC139295-med.png', 'large': '//xeno-canto.org/sounds/uploaded/BYLLSJRVDZ/wave/XC139295-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,C,0:21,11:00,2013-01-27,2013-06-21,[],,no,no,no,,,no,,,48000
41184,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Jon Hornbuckle,Peru,north of jaen,,,?,song,,,field recording,//xeno-canto.org/41184,https://xeno-canto.org/41184/download,SynChi_Jae_JH_07_MC.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ONYOYVRBQT/ffts/XC41184-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ONYOYVRBQT/ffts/XC41184-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ONYOYVRBQT/ffts/XC41184-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ONYOYVRBQT/ffts/XC41184-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ONYOYVRBQT/wave/XC41184-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ONYOYVRBQT/wave/XC41184-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ONYOYVRBQT/wave/XC41184-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,C,0:21,?:?,1998-08-24,2009-12-03,[],,unknown,unknown,unknown,,,no,,,44100
39069,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Frank Lambert,Peru,"Tamborapa, (nr Jean) Cajamarca ",,,?,song,,,field recording,//xeno-canto.org/39069,https://xeno-canto.org/39069/download,SPChinchipe_FL 6Dec04Tamborapa (nrJaen).mp3,"{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC39069-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC39069-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC39069-large.png', 'full': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC39069-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC39069-small.png', 'med': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC39069-med.png', 'large': '//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC39069-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,C,1:16,08:30,2004-12-06,2009-09-22,[],,unknown,unknown,unknown,,,no,,,44100
13437,Synallaxis,chinchipensis,,birds,Chinchipe Spinetail,Roger Ahlman,Peru,"5km north of Jaén, Cajamarca",-5.6845,-78.7876,?,song,,,field recording,//xeno-canto.org/13437,https://xeno-canto.org/13437/download,Chinchipe_Spinetail.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/XC13437-small.png', 'med': '//xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/XC13437-med.png', 'large': '//xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/XC13437-large.png', 'full': '//xeno-canto.org/sounds/uploaded/EGHCOFEENE/ffts/XC13437-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/EGHCOFEENE/wave/XC13437-small.png', 'med': '//xeno-canto.org/sounds/uploaded/EGHCOFEENE/wave/XC13437-med.png', 'large': '//xeno-canto.org/sounds/uploaded/EGHCOFEENE/wave/XC13437-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,C,0:18,17:50,2005-03-17,2008-11-20,[],,unknown,unknown,unknown,,,no,,,44100
